filename,speaker,index,transcript,total_speaking_time_seconds
VN1-RATML-DANNY.m4a,DANNY,VN1,right team let's look at where we stand with the new audio transcription engine the deadline is looming,6.83
VN11-RATML-DANNY.m4a,DANNY,VN11,let's keep real time is the goal but we need a hard backup plan what's the quickest fix for the noise is she,6.4
VN12-RATML-ANIKA.m4a,ANIKA,VN12,i can try trading the model on a dataset injected with artificial cafe and office background noise,7.08
VN13-RATML-KEVIN.m4a,KEVIN,VN13,i can help you curator did tonight africa if you want to get the trading lip started immediately,5.99
VN14-RATML-DECLAN.m4a,DECLAN,VN14,if we train tonight we will have fresh validation metrics by tomorrow morning to review,5.91
VN16-RATML-DANNY.m4a,DANNY,VN16,exxon now what about the punctuation and capitalization model it was rendering everything is one long sentence,6.93
VN17-RATML-ANIKA.m4a,ANIKA,VN17,i took the transformer heads yesterday and it's finally putting periods and commas in the right place,5.59
VN18-RATML-KEVIN.m4a,KEVIN,VN18,that's huge news cream formatting will make the transcript look much more professional,5.95
VN19-RATML-DECLAN.m4a,DECLAN,VN19,but does it handle actions while our tesco group users from all over the world,6.7
VN2-RATML-ANIKA.m4a,ANIKA,VN2,the core a deep learning model is performing beautifully unclean data the background noise is still throwing it off,7.81
VN21-RATML-DANNY.m4a,DANNY,VN21,possible works for a beta release we just need a stable mvp to show management next week,6.57
VN22-RATML-ANIKA.m4a,ANIKA,VN22,if we can just solve the background noise by friday i think we're completely gordon,4.74
VN23-RATML-KEVIN.m4a,KEVIN,VN23,i'm optimistic we've solved harder engineering bottlenecks done this before,5.65
VN24-RATML-DECLAN.m4a,DECLAN,VN24,let's put the heads down and grind for the next forty eight hours we can do this,5.53
VN26-RATML-DANNY.m4a,DANNY,VN26,sounds like a solid plan let's go to a team,4.29
VN3-RATML-KEVIN.m4a,KEVIN,VN3,i'd been analyzing the air raids and we're seeing a massive spike whenever someone over talks,7.57
VN4-RATML-DECLAN.m4a,DECLAN,VN4,we need figure out how to handle those overlapping voices for the final product reviews to send the real meetings,8.13
VN6-RATML-DANNY.m4a,DANNY,VN6,that sounds promising i'm tom can it run in real time without melting are cloud service,5.74
VN7-RATML-ANIKA.m4a,ANIKA,VN7,real time processing is the dream but right now the latency is just too high for a tool,6.19
VN8-RATML-KEVIN.m4a,KEVIN,VN8,i agree with annika if we can't optimize the pipeline by friday may have to switch to batch processing,7.74
VN9-RATML-DECLAN.m4a,DECLAN,VN9,switching to batch processing feels like a massive compromise for our launch users want instant results,8.6
