filename,speaker,index,transcript,total_speaking_time_seconds,corrected_transcript
VN1-RATML-DANNY.m4a,DANNY,VN1,right team let's look at where we stand with the new audio transcription engine the deadline is looming,6.83,"Right, team, let's look at where we stand with the new audio transcription engine; the deadline is looming."
VN11-RATML-DANNY.m4a,DANNY,VN11,let's keep real time is the goal but we need a hard backup plan what's the quickest fix for the noise is she,6.4,"Let's keep real-time as the goal, but we need a hard backup plan; what's the quickest fix for the noise, is she?"
VN12-RATML-ANIKA.m4a,ANIKA,VN12,i can try trading the model on a dataset injected with artificial cafe and office background noise,7.08,I can try training the model on a dataset injected with artificial cafe and office background noise.
VN13-RATML-KEVIN.m4a,KEVIN,VN13,i can help you curator did tonight africa if you want to get the trading lip started immediately,5.99,I can help you curate tonight’s Africa feed if you want to get the trading loop started immediately.
VN14-RATML-DECLAN.m4a,DECLAN,VN14,if we train tonight we will have fresh validation metrics by tomorrow morning to review,5.91,"If we train tonight, we will have fresh validation metrics to review by tomorrow morning."
VN16-RATML-DANNY.m4a,DANNY,VN16,exxon now what about the punctuation and capitalization model it was rendering everything is one long sentence,6.93,"Exxon: Now, what about the punctuation and capitalization model? It was rendering everything as one long sentence."
VN17-RATML-ANIKA.m4a,ANIKA,VN17,i took the transformer heads yesterday and it's finally putting periods and commas in the right place,5.59,"I took the Transformer heads yesterday, and it's finally putting periods and commas in the right place."
VN18-RATML-KEVIN.m4a,KEVIN,VN18,that's huge news cream formatting will make the transcript look much more professional,5.95,That's huge news; Cream formatting will make the transcript look much more professional.
VN19-RATML-DECLAN.m4a,DECLAN,VN19,but does it handle actions while our tesco group users from all over the world,6.7,But does it handle actions while our Tesco group users are from all over the world?
VN2-RATML-ANIKA.m4a,ANIKA,VN2,the core a deep learning model is performing beautifully unclean data the background noise is still throwing it off,7.81,"The core of a deep learning model is performing beautifully on clean data, but the background noise is still throwing it off."
VN21-RATML-DANNY.m4a,DANNY,VN21,possible works for a beta release we just need a stable mvp to show management next week,6.57,Possible works for a beta release; we just need a stable MVP to show management next week.
VN22-RATML-ANIKA.m4a,ANIKA,VN22,if we can just solve the background noise by friday i think we're completely gordon,4.74,"If we can just solve the background noise by Friday, I think we're completely golden."
VN23-RATML-KEVIN.m4a,KEVIN,VN23,i'm optimistic we've solved harder engineering bottlenecks done this before,5.65,I'm optimistic; we've solved harder engineering bottlenecks and have done this before.
VN24-RATML-DECLAN.m4a,DECLAN,VN24,let's put the heads down and grind for the next forty eight hours we can do this,5.53,Let's put our heads down and grind for the next forty-eight hours; we can do this.
VN26-RATML-DANNY.m4a,DANNY,VN26,sounds like a solid plan let's go to a team,4.29,Sounds like a solid plan; let's go to a team.
VN3-RATML-KEVIN.m4a,KEVIN,VN3,i'd been analyzing the air raids and we're seeing a massive spike whenever someone over talks,7.57,"I'd been analyzing the air raids, and we're seeing a massive spike whenever someone overtakes."
VN4-RATML-DECLAN.m4a,DECLAN,VN4,we need figure out how to handle those overlapping voices for the final product reviews to send the real meetings,8.13,We need to figure out how to handle those overlapping voices for the final product reviews to send to the real meetings.
VN6-RATML-DANNY.m4a,DANNY,VN6,that sounds promising i'm tom can it run in real time without melting are cloud service,5.74,That sounds promising. I'm Tom. Can it run in real time without melting our cloud service?
VN7-RATML-ANIKA.m4a,ANIKA,VN7,real time processing is the dream but right now the latency is just too high for a tool,6.19,"Real-time processing is the dream, but right now the latency is just too high for a tool."
VN8-RATML-KEVIN.m4a,KEVIN,VN8,i agree with annika if we can't optimize the pipeline by friday may have to switch to batch processing,7.74,"I agree with Annika: if we can't optimize the pipeline by Friday, we may have to switch to batch processing."
VN9-RATML-DECLAN.m4a,DECLAN,VN9,switching to batch processing feels like a massive compromise for our launch users want instant results,8.6,"Switching to batch processing feels like a massive compromise; for our launch, users want instant results."
