filename,speaker,index,transcript,timestamp,total_speaking_time_seconds,corrected_transcript,question_flag,num_words,text_size_chars,speech_rate_wps,speaker_turn_id
VN1-RATML-DANNY.m4a,DANNY,VN1,right team let's look at where we stand with the new audio transcription engine the deadline is looming,2026-06-18T18:00:00,6.83,"Right, team, let's look at where we stand with the new audio transcription engine; the deadline is looming.",False,18,107,2.64,1
VN10-RATML-ANTON.m4a,ANTON,VN10,it's a compromise yes but the work and by stole is better than broken real time to,2026-06-18T18:00:06,8.0,"It’s a compromise, yes, but the work and by-stole is better than broken real-time, too.",False,15,87,1.88,1
VN11-RATML-DANNY.m4a,DANNY,VN11,let's keep real time is the goal but we need a hard backup plan what's the quickest fix for the noise is she,2026-06-18T18:00:14,6.4,"Let's keep real-time as the goal, but we need a hard backup plan; what's the quickest fix for the noise, is she?",True,22,112,3.44,2
VN12-RATML-ANIKA.m4a,ANIKA,VN12,i can try trading the model on a dataset injected with artificial cafe and office background noise,2026-06-18T18:00:21,7.08,I can try training the model on a dataset injected with artificial cafe and office background noise.,False,17,100,2.4,1
VN13-RATML-KEVIN.m4a,KEVIN,VN13,i can help you curator did tonight africa if you want to get the trading lip started immediately,2026-06-18T18:00:28,5.99,"I can help you curate it tonight, Africa, if you want to get the trading clip started immediately.",False,18,98,3.01,1
VN14-RATML-DECLAN.m4a,DECLAN,VN14,if we train tonight we will have fresh validation metrics by tomorrow morning to review,2026-06-18T18:00:34,5.91,"If we train tonight, we will have fresh validation metrics to review by tomorrow morning.",False,15,89,2.54,1
VN15-RATML-ANTON.m4a,ANTON,VN15,perfect while you to handle the dating jackson i'll optimized that there is a sin code to save have some milliseconds,2026-06-18T18:00:40,10.58,"While you handle the dating, Jackson, I'll optimize that JS code to save a few milliseconds.",False,16,92,1.51,2
VN16-RATML-DANNY.m4a,DANNY,VN16,exxon now what about the punctuation and capitalization model it was rendering everything is one long sentence,2026-06-18T18:00:50,6.93,"Exxon, now what about the punctuation and capitalization model? It was rendering everything as one long sentence.",True,17,113,2.45,3
VN17-RATML-ANIKA.m4a,ANIKA,VN17,i took the transformer heads yesterday and it's finally putting periods and commas in the right place,2026-06-18T18:00:57,5.59,"I took the transformer heads yesterday, and it's finally putting periods and commas in the right place.",False,17,103,3.04,2
VN18-RATML-KEVIN.m4a,KEVIN,VN18,that's huge news cream formatting will make the transcript look much more professional,2026-06-18T18:01:03,5.95,That's huge news; Cream formatting will make the transcript look much more professional.,False,13,88,2.18,2
VN19-RATML-DECLAN.m4a,DECLAN,VN19,but does it handle actions while our test group of users from all over the world,2026-06-18T18:01:09,6.7,But does it handle actions while our test group of users from all over the world [is/are] [verb missing]?,True,19,105,2.84,2
VN2-RATML-ANIKA.m4a,ANIKA,VN2,the core a deep learning model is performing beautifully unclean data the background noise is still throwing it off,2026-06-18T18:01:15,7.81,"The core of a deep learning model is performing beautifully on clean data, but the background noise is still throwing it off.",False,22,125,2.82,3
VN20-RATML-ANTON.m4a,ANTON,VN20,it's targets with thicker regional accents but it possible for first question,2026-06-18T18:01:23,7.13,"It targets those with thicker regional accents, but it is possible for the first question.",False,15,90,2.1,3
VN21-RATML-DANNY.m4a,DANNY,VN21,possible works for a beta release we just need a stable mvp to show management next week,2026-06-18T18:01:30,6.57,These are possible works for a beta release; we just need a stable MVP to show management next week.,False,19,100,2.89,4
VN22-RATML-ANIKA.m4a,ANIKA,VN22,if we can just solve the background noise by friday i think we're completely gordon,2026-06-18T18:01:37,4.74,"If we can just solve the background noise by Friday, I think we're completely golden.",False,15,85,3.16,4
VN23-RATML-KEVIN.m4a,KEVIN,VN23,i'm optimistic we've solved harder engineering bottlenecks done this before,2026-06-18T18:01:42,5.65,I'm optimistic; we've solved harder engineering bottlenecks and have done this before.,False,12,86,2.12,3
VN24-RATML-DECLAN.m4a,DECLAN,VN24,let's put the heads down and grind for the next forty eight hours we can do this,2026-06-18T18:01:47,5.53,Let's put our heads down and grind for the next forty-eight hours; we can do this.,False,16,82,2.89,3
VN25-RATML-ANTON.m4a,ANTON,VN25,agreed let's split up tackle our a sign that pieces and meet back here tomorrow at nine,2026-06-18T18:01:53,7.47,"Agreed, let's split up, tackle our assigned pieces, and meet back here tomorrow at nine.",False,15,88,2.01,4
VN26-RATML-DANNY.m4a,DANNY,VN26,sounds like a solid plan let's go to a team,2026-06-18T18:02:00,4.29,Sounds like a solid plan; let's go to a team.,False,10,45,2.33,5
VN3-RATML-KEVIN.m4a,KEVIN,VN3,i'd been analyzing the air raids and we're seeing a massive spike whenever someone over talks,2026-06-18T18:02:05,7.57,"I'd been analyzing the air raids, and we're seeing a massive spike whenever someone overtakes.",False,15,94,1.98,4
VN4-RATML-DECLAN.m4a,DECLAN,VN4,we need figure out how to handle those overlapping voices for the final product reviews to send the real meetings,2026-06-18T18:02:12,8.13,We need to figure out how to handle those overlapping voices for the final product reviews to send to the real meetings.,False,22,120,2.71,4
VN5-RATML-ANTON.m4a,ANTON,VN5,don't find you get i built a lightweight there is a son robber that might help our separate hosts speaking,2026-06-18T18:02:20,11.48,"I don't find that I get it built; there is a lightweight, sun-robber that might help our separate hosts speaking.",False,20,113,1.74,5
VN6-RATML-DANNY.m4a,DANNY,VN6,that sounds promising i'm tom can it run in real time without melting are cloud service,2026-06-18T18:02:32,5.74,That sounds promising. I'm Tom. Can it run in real time without melting our cloud service?,True,16,90,2.79,6
VN7-RATML-ANIKA.m4a,ANIKA,VN7,real time processing is the dream but right now the latency is just too high for a tool,2026-06-18T18:02:38,6.19,"Real-time processing is the dream, but right now, the latency is just too high for a tool.",False,17,90,2.75,5
VN8-RATML-KEVIN.m4a,KEVIN,VN8,i agree with annika if we can't optimize the pipeline by friday may have to switch to batch processing,2026-06-18T18:02:44,7.74,"I agree with Annika; if we can't optimize the pipeline by Friday, we may have to switch to batch processing.",False,20,108,2.58,5
VN9-RATML-DECLAN.m4a,DECLAN,VN9,switching to batch processing feels like a massive compromise for our launch users want instant results,2026-06-18T18:02:52,8.6,"Switching to batch processing feels like a massive compromise; for our launch, users want instant results.",False,16,106,1.86,5
